sample_id,file,total_reads,average_read_length,gc_content_percent,q20_percent,q30_percent,per_base_quality_first_20
SRR37278448,SRR37278448.fastq,208145,21.658,48.403,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278450,SRR37278450.fastq,233729,21.67,50.224,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278456,SRR37278456.fastq,193237,21.628,46.739,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278459,SRR37278459.fastq,338938,21.651,49.918,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278463,SRR37278463.fastq,172641,21.662,49.616,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278465,SRR37278465.fastq,244702,21.646,48.089,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278472,SRR37278472.fastq,250271,21.655,49.57,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278475,SRR37278475.fastq,395516,21.63,51.337,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278479,SRR37278479.fastq,199198,21.648,48.783,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
SRR37278483,SRR37278483.fastq,174284,21.66,48.995,100.0,100.0,30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
